,gain,weight,cover
0,0.0073271585,0.0031545742,0.010830619
1,0.0074804346,0.0031545742,0.0041677635
2,0.018962905,0.0031545742,0.0037046785
3,0.006121316,0.0031545742,0.011022791
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.017898794,0.0031545742,0.02835624
8,0.0012531705,0.009463723,0.0053003533
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.13392013,0.0063091484,0.062326547
12,0.042559277,0.0031545742,0.0060201026
13,0.01753684,0.0031545742,0.0042629074
14,0.0,0.0,0.0
15,0.0020667699,0.0031545742,0.004938563
16,0.0008990944,0.0063091484,0.004647171
17,0.0,0.0,0.0
18,0.008908604,0.0063091484,0.022113536
19,0.0032586772,0.0031545742,0.008636511
20,0.0154209165,0.0031545742,0.021381019
21,0.011416724,0.009463723,0.0064448463
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.007487972,0.0063091484,0.012124587
25,0.0,0.0,0.0
26,0.0036144804,0.0031545742,0.004533085
27,0.0,0.0,0.0
28,0.0398187,0.0031545742,0.011040506
29,0.033952095,0.0031545742,0.010372995
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0066542076,0.0063091484,0.01539158
35,0.0022964005,0.0031545742,0.0040696952
36,0.01252763,0.0031545742,0.006142604
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0013765865,0.0063091484,0.0044765994
40,0.0012262746,0.0063091484,0.007982513
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.00824793,0.0031545742,0.007514392
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0075434484,0.0031545742,0.014348431
48,0.010964216,0.0063091484,0.008338388
49,0.0051853377,0.03154574,0.009721426
50,0.0,0.0,0.0
51,0.007980596,0.0063091484,0.01063615
52,0.0,0.0,0.0
53,0.0016788598,0.0031545742,0.0059628435
54,0.008698474,0.0031545742,0.0072840187
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.006372872,0.0031545742,0.008532576
59,0.01684178,0.009463723,0.010326243
60,0.011032085,0.0063091484,0.020383613
61,0.013808331,0.0031545742,0.010851004
62,0.0026642543,0.0063091484,0.0049917805
63,0.000947319,0.01577287,0.00665695
64,0.0025135325,0.0031545742,0.008583379
65,0.031033391,0.0031545742,0.006658941
66,0.0026448378,0.012618297,0.00549579
67,0.0,0.0,0.0
68,0.0020852936,0.0031545742,0.008944146
69,0.0,0.0,0.0
70,0.016627297,0.009463723,0.017398354
71,0.0006545899,0.0031545742,0.0063355104
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0073965867,0.009463723,0.005726695
75,0.0,0.0,0.0
76,0.006167515,0.0031545742,0.008475275
77,0.0,0.0,0.0
78,0.00037649288,0.0031545742,0.004267021
79,0.0,0.0,0.0
80,0.004916199,0.041009463,0.009382777
81,0.0,0.0,0.0
82,0.004999113,0.009463723,0.005479745
83,0.0,0.0,0.0
84,0.000711877,0.0031545742,0.0040731374
85,0.0,0.0,0.0
86,0.018048318,0.0031545742,0.03636468
87,0.020577187,0.0063091484,0.010186908
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.007736967,0.0031545742,0.012864443
91,0.006747776,0.0063091484,0.009384352
92,0.0023191965,0.0031545742,0.0043557794
93,0.0006375829,0.0063091484,0.0063016675
94,0.020823041,0.012618297,0.0070216856
95,0.0,0.0,0.0
96,0.0008685548,0.0031545742,0.003968789
97,0.021618286,0.009463723,0.029655172
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.008408058,0.01577287,0.009449941
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.019090516,0.01577287,0.024718428
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0032494275,0.0063091484,0.006610119
107,0.004658624,0.01577287,0.005516043
108,0.005047234,0.050473187,0.008341657
109,0.018639043,0.009463723,0.018074036
110,0.005881112,0.018927446,0.0074976613
111,0.003329101,0.025236594,0.008919398
112,0.00054037885,0.0031545742,0.0037608484
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0057600485,0.0063091484,0.0070257173
116,0.0019392119,0.0063091484,0.0063904678
117,0.0023833155,0.0063091484,0.0053472705
118,0.004668436,0.03785489,0.006898053
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0030946236,0.028391168,0.010437099
122,0.0051658936,0.034700315,0.010488255
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.005258522,0.041009463,0.011545839
126,0.019087445,0.0063091484,0.0125823505
127,0.00052434515,0.0031545742,0.004041328
128,0.006797319,0.0063091484,0.018064877
129,0.01823084,0.03154574,0.020783316
130,0.0,0.0,0.0
131,0.003616957,0.02208202,0.0068505406
132,0.01042847,0.028391168,0.009550673
133,0.012542317,0.041009463,0.0124136815
134,0.0,0.0,0.0
135,0.0031450824,0.0063091484,0.0050415746
136,0.013047325,0.028391168,0.018357782
137,0.010365326,0.018927446,0.019308392
138,0.016120492,0.0031545742,0.008896564
139,0.0,0.0,0.0
140,0.0032314856,0.009463723,0.0060481913
141,0.00084496517,0.01577287,0.0064167627
142,0.0,0.0,0.0
143,0.01264454,0.04416404,0.02071452
144,0.07556392,0.009463723,0.0489034
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.002624404,0.03154574,0.008557651
149,0.0,0.0,0.0
150,0.008616949,0.0031545742,0.005687633
151,0.0,0.0,0.0
152,0.0,0.0,0.0
